text,category
The delivery estimate is incorrect,Shipping & Delivery
My shipment is delayed by several days,Shipping & Delivery
Please investigate my missing delivery,Shipping & Delivery
I need help tracking my package,Shipping & Delivery
The courier has not contacted me,Shipping & Delivery
My order delivery is late,Shipping & Delivery
Can you tell me where my shipment is,Shipping & Delivery
The product I received is damaged,Product Issue
The item is defective,Product Issue
The product does not work,Product Issue
I received the wrong product,Product Issue
The item is missing a part,Product Issue
The product quality is poor,Product Issue
My device stopped working,Product Issue
The item arrived broken,Product Issue
The product has a manufacturing defect,Product Issue
I received a different color than ordered,Product Issue
The product is damaged out of the box,Product Issue
One component is missing from my package,Product Issue
The item is not as described,Product Issue
The product stopped working after one day,Product Issue
I received the wrong size,Product Issue
The device will not turn on,Product Issue
The product has scratches,Product Issue
The item appears faulty,Product Issue
I need help with a defective product,Product Issue
The product is not functioning correctly,Product Issue
An accessory is missing from the box,Product Issue
The item I received is incorrect,Product Issue
The product arrived with damage,Product Issue
The device has a technical defect,Product Issue
The product does not match the listing,Product Issue
I need a replacement for a damaged item,Product Issue
The item is broken,Product Issue
The product quality is not acceptable,Product Issue
I received a faulty item,Product Issue
The product is damaged and unusable,Product Issue
I want to cancel my order,Cancellation & Refund
Please cancel my subscription,Cancellation & Refund
I need a refund for my purchase,Cancellation & Refund
How can I request a refund,Cancellation & Refund
I want to return this order,Cancellation & Refund
Please cancel the order before it ships,Cancellation & Refund
I changed my mind and want a refund,Cancellation & Refund
Can I get my money back,Cancellation & Refund
I need to return an item,Cancellation & Refund
Please process my refund,Cancellation & Refund
How long does a refund take,Cancellation & Refund
I want to cancel my subscription today,Cancellation & Refund
I no longer need this product and want to return it,Cancellation & Refund
Can you help me with a return,Cancellation & Refund
My refund has not arrived,Cancellation & Refund
I requested a refund but have not received it,Cancellation & Refund
I want to cancel my purchase,Cancellation & Refund
Please tell me the refund policy,Cancellation & Refund
Can I return this item for a refund,Cancellation & Refund
I need to stop my order,Cancellation & Refund
How do I cancel an order,Cancellation & Refund
I want my payment refunded,Cancellation & Refund
Please help me return my product,Cancellation & Refund
The refund is taking too long,Cancellation & Refund
I need to cancel before delivery,Cancellation & Refund
I would like to request a refund,Cancellation & Refund
Can my order be cancelled,Cancellation & Refund
Please refund my cancelled order,Cancellation & Refund
I want to return the product and get my money back,Cancellation & Refund
Help me cancel this purchase,Cancellation & Refund
